region,subvillage,longitude,latitude,gps_height,key
Arusha,Afya,36.61166336266667,-3.2990573886666663,1520.9333333333334,AfyaArusha
Arusha,Ahara,35.69874413,-2.1743774,1359.0,AharaArusha
Arusha,Alairataat,36.152924793333334,-2.8879630600000006,1670.3333333333333,AlairataatArusha
Arusha,Alakirikir,36.416604575,-2.435743965,1613.0,AlakirikirArusha
Arusha,Alasai,36.39363021,-3.24930342,1795.0,AlasaiArusha
Arusha,Aleilelai,35.700244245,-2.9581275624999996,2472.75,AleilelaiArusha
Arusha,Alsini,35.83732718,-3.2752822000000004,1547.0,AlsiniArusha
Arusha,Ambara,35.69700061,-3.52476155,1449.0,AmbaraArusha
Arusha,Ambureni,36.75247599,-3.3652556225,1412.25,AmbureniArusha
Arusha,Arahati,35.610595585,-3.5246188524999997,1494.25,ArahatiArusha
Arusha,Arashi,35.50578716333333,-2.374830343333333,1905.3333333333333,ArashiArusha
Arusha,Arati,35.664815874,-3.4893968040000005,1380.8,AratiArusha
Arusha,Arauyo,36.88486437571429,-3.3179345071428576,1372.5714285714287,ArauyoArusha
Arusha,Ariahati,35.63843601,-3.53763724,1455.0,AriahatiArusha
Arusha,Arkaria,36.31446548,-3.3317632660000003,1462.8,ArkariaArusha
Arusha,Arudeko,36.88018984454545,-3.3680418872727276,1161.2727272727273,ArudekoArusha
Arusha,Ascarida,36.77979398,-2.543262,1315.0,AscaridaArusha
Arusha,Athin Kati,35.66681041,-3.4041645,1449.0,Athin KatiArusha
Arusha,Athni Mwisho,35.67359224,-3.42660474,1421.0,Athni MwishoArusha
Arusha,Atsin,35.83961593,-3.26822637,1607.0,AtsinArusha
Arusha,Atsini,35.836435085,-3.269311785,1581.5,AtsiniArusha
Arusha,Ayarati,35.66128416,-3.50233568,1380.0,AyaratiArusha
Arusha,Bagayu,35.69267098,-3.48596691,1364.5,BagayuArusha
Arusha,Baqari,35.65966485,-3.39250142,1441.0,BaqariArusha
Arusha,Barae,35.62401391,-3.47143149,1361.0,BaraeArusha
Arusha,Barai,35.8377038075,-3.2346592525,1843.25,BaraiArusha
Arusha,Baraka,35.901650075000006,-3.3487133725,976.0,BarakaArusha
Arusha,Barazani,35.668774545000005,-3.33434258,1526.5,BarazaniArusha
Arusha,Bare A,35.667009198,-3.4485182640000005,1390.6,Bare AArusha
Arusha,Barray,35.36786067333333,-3.534715906666667,1073.3333333333333,BarrayArusha
Arusha,Bomba,35.95525902,-3.2197156166666665,1066.6666666666667,BombaArusha
Arusha,Bonde La Faru,35.882531404999995,-3.2156883499999998,1775.0,Bonde La FaruArusha
Arusha,Bondeni,36.8290710932,-3.4026021520000005,1237.6,BondeniArusha
Arusha,Bugharga,35.2982029,-3.5191361000000003,1029.0,BughargaArusha
Arusha,Buguruni,36.786327400000005,-2.551947656666667,1318.6666666666667,BuguruniArusha
Arusha,Bukarga,35.293842100000006,-3.51598399,1032.0,BukargaArusha
Arusha,Bulati,35.80213044,-2.984859115,2566.5,BulatiArusha
Arusha,Buluga,36.84118035,-3.54259598,954.0,BulugaArusha
Arusha,Burka,36.64234653,-3.40903954,1325.0,BurkaArusha
Arusha,Bwawani,36.812211212758626,-3.2023516782758623,1455.1379310344828,BwawaniArusha
